year,month,day,dow,don,color,wnum,tmp1,tmp2,tmp3
2020,8,16,Sun,,FFB6C1,4,8月16日,Sun,4
2020,8,17,Mon,,,4,8月17日,Mon,4
2020,8,18,Tue,,,4,8月18日,Tue,4
2020,8,19,Wed,,,4,8月19日,Wed,4
2020,8,20,Thu,,,4,8月20日,Thu,4
2020,8,21,Fri,,,4,8月21日,Fri,4
2020,8,22,Sat,,FFD9C1,4,8月22日,Sat,4
2020,8,23,Sun,,FFB6C1,5,8月23日,Sun,5
2020,8,24,Mon,,,5,8月24日,Mon,5
2020,8,25,Tue,,,5,8月25日,Tue,5
2020,8,26,Wed,,,5,8月26日,Wed,5
2020,8,27,Thu,,,5,8月27日,Thu,5
2020,8,28,Fri,,,5,8月28日,Fri,5
2020,8,29,Sat,,FFD9C1,5,8月29日,Sat,5
2020,8,30,Sun,,FFB6C1,6,8月30日,Sun,6
2020,8,31,Mon,,,6,8月31日,Mon,6
2020,9,1,Tue,,,1,9月1日,Tue,1
2020,9,2,Wed,,,1,9月2日,Wed,1
2020,9,3,Thu,,,1,9月3日,Thu,1
2020,9,4,Fri,,,1,9月4日,Fri,1
2020,9,5,Sat,,FFD9C1,1,9月5日,Sat,1
2020,9,6,Sun,,FFB6C1,2,9月6日,Sun,2
2020,9,7,Mon,,,2,9月7日,Mon,2
2020,9,8,Tue,,,2,9月8日,Tue,2
2020,9,9,Wed,,,2,9月9日,Wed,2
2020,9,10,Thu,,,2,9月10日,Thu,2
2020,9,11,Fri,,,2,9月11日,Fri,2
2020,9,12,Sat,,FFD9C1,2,9月12日,Sat,2
2020,9,13,Sun,,FFB6C1,3,9月13日,Sun,3
2020,9,14,Mon,,,3,9月14日,Mon,3
2020,9,15,Tue,,,3,9月15日,Tue,3
2020,9,16,Wed,,,3,9月16日,Wed,3
2020,9,17,Thu,,,3,9月17日,Thu,3
2020,9,18,Fri,,,3,9月18日,Fri,3
2020,9,19,Sat,,FFD9C1,3,9月19日,Sat,3
2020,9,20,Sun,,FFB6C1,4,9月20日,Sun,4
2020,9,21,Mon,Respect for the Aged Day,FFB6C1,4,9月21日,Mon,4
2020,9,22,Tue,Autumnal Equinox Day,FFB6C1,4,9月22日,Tue,4
2020,9,23,Wed,,,4,9月23日,Wed,4
2020,9,24,Thu,,,4,9月24日,Thu,4
2020,9,25,Fri,,,4,9月25日,Fri,4
2020,9,26,Sat,,FFD9C1,4,9月26日,Sat,4
2020,9,27,Sun,,FFB6C1,5,9月27日,Sun,5
2020,9,28,Mon,,,5,9月28日,Mon,5
2020,9,29,Tue,,,5,9月29日,Tue,5
2020,9,30,Wed,,,5,9月30日,Wed,5
2020,10,1,Thu,,,1,10月1日,Thu,1
2020,10,2,Fri,,,1,10月2日,Fri,1
2020,10,3,Sat,,FFD9C1,1,10月3日,Sat,1
2020,10,4,Sun,,FFB6C1,2,10月4日,Sun,2
2020,10,5,Mon,,,2,10月5日,Mon,2
2020,10,6,Tue,,,2,10月6日,Tue,2
2020,10,7,Wed,,,2,10月7日,Wed,2
2020,10,8,Thu,,,2,10月8日,Thu,2
2020,10,9,Fri,,,2,10月9日,Fri,2
2020,10,10,Sat,,FFD9C1,2,10月10日,Sat,2
2020,10,11,Sun,,FFB6C1,3,10月11日,Sun,3
